Timestamp,Reading
2024-07-31 18:41:24,-1.0 lbs
2024-07-31 18:41:24,-1.0 lbs
2024-07-31 18:41:24,-1.0 lbs
2024-07-31 18:41:24,-1.0 lbs
2024-07-31 18:41:24,-1.0 lbs
2024-07-31 18:41:24,-1.0 lbs
2024-07-31 18:41:25,-1.0 lbs
2024-07-31 18:41:25,-1.0 lbs
2024-07-31 18:41:25,-1.0 lbs
2024-07-31 18:41:25,-1.0 lbs
2024-07-31 18:41:25,-1.0 lbs
2024-07-31 18:41:25,-1.0 lbs
2024-07-31 18:41:25,-1.0 lbs
2024-07-31 18:41:25,-1.0 lbs
2024-07-31 18:41:25,-1.0 lbs
2024-07-31 18:41:25,-1.0 lbs
2024-07-31 18:41:25,-1.0 lbs
2024-07-31 18:41:25,-0.9 lbs
2024-07-31 18:41:26,-0.9 lbs
2024-07-31 18:41:26,-0.9 lbs
2024-07-31 18:41:26,-0.9 lbs
2024-07-31 18:41:26,-0.9 lbs
2024-07-31 18:41:26,-1.0 lbs
2024-07-31 18:41:26,-1.0 lbs
2024-07-31 18:41:26,-1.0 lbs
2024-07-31 18:41:26,-1.0 lbs
2024-07-31 18:41:26,-1.0 lbs
2024-07-31 18:41:26,-1.0 lbs
2024-07-31 18:41:26,-1.0 lbs
2024-07-31 18:41:27,-1.0 lbs
2024-07-31 18:41:27,-1.0 lbs
2024-07-31 18:41:27,-1.0 lbs
2024-07-31 18:41:27,-1.0 lbs
2024-07-31 18:41:27,-1.0 lbs
2024-07-31 18:41:27,-1.0 lbs
2024-07-31 18:41:27,-1.0 lbs
2024-07-31 18:41:27,-1.0 lbs
2024-07-31 18:41:27,-1.0 lbs
2024-07-31 18:41:27,-1.0 lbs
2024-07-31 18:41:27,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:28,-1.0 lbs
2024-07-31 18:41:29,-1.0 lbs
2024-07-31 18:41:29,-1.0 lbs
2024-07-31 18:41:29,-1.0 lbs
2024-07-31 18:41:29,-1.0 lbs
2024-07-31 18:41:29,-1.0 lbs
2024-07-31 18:41:29,-1.0 lbs
2024-07-31 18:41:29,-1.0 lbs
2024-07-31 18:41:29,-1.0 lbs
2024-07-31 18:41:29,-1.0 lbs
2024-07-31 18:41:29,-1.0 lbs
2024-07-31 18:41:29,-1.0 lbs
2024-07-31 18:41:30,-1.0 lbs
2024-07-31 18:41:30,-1.0 lbs
2024-07-31 18:41:30,-1.0 lbs
2024-07-31 18:41:30,-1.0 lbs
2024-07-31 18:41:30,-1.0 lbs
2024-07-31 18:41:30,-1.0 lbs
2024-07-31 18:41:30,-1.0 lbs
2024-07-31 18:41:30,-1.0 lbs
2024-07-31 18:41:30,-1.0 lbs
2024-07-31 18:41:30,-1.0 lbs
2024-07-31 18:41:30,-1.0 lbs
2024-07-31 18:41:31,-1.0 lbs
2024-07-31 18:41:31,-1.0 lbs
2024-07-31 18:41:31,-1.0 lbs
2024-07-31 18:41:31,-1.0 lbs
2024-07-31 18:41:31,-1.0 lbs
2024-07-31 18:41:31,-1.0 lbs
2024-07-31 18:41:31,-1.0 lbs
2024-07-31 18:41:31,-1.0 lbs
2024-07-31 18:41:31,-1.0 lbs
2024-07-31 18:41:31,-1.0 lbs
2024-07-31 18:41:31,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:32,-1.0 lbs
2024-07-31 18:41:33,-1.0 lbs
2024-07-31 18:41:33,-1.0 lbs
2024-07-31 18:41:33,-1.0 lbs
2024-07-31 18:41:33,-1.0 lbs
2024-07-31 18:41:33,-1.0 lbs
2024-07-31 18:41:33,-1.0 lbs
2024-07-31 18:41:33,-1.0 lbs
2024-07-31 18:41:33,-1.0 lbs
2024-07-31 18:41:33,-1.0 lbs
2024-07-31 18:41:33,-1.0 lbs
2024-07-31 18:41:33,-1.0 lbs
2024-07-31 18:41:34,-1.0 lbs
2024-07-31 18:41:34,-1.0 lbs
2024-07-31 18:41:34,-1.0 lbs
2024-07-31 18:41:34,-1.0 lbs
2024-07-31 18:41:34,-1.0 lbs
2024-07-31 18:41:34,-1.0 lbs
2024-07-31 18:41:34,-1.0 lbs
2024-07-31 18:41:34,-1.0 lbs
